#  RestFreq(Hz) T(K)
238857793587.09949  3.23850
238858922681.41214  3.63933
238860051775.72482  2.59438
238861180870.03748  0.99119
238862309964.35013  0.49713
238863439058.66278  0.44134
238864568152.97546  0.29649
238865697247.28812  0.16336
238866826341.60077  0.56137
238867955435.91345  2.21494
238869084530.22610  3.67267
238870213624.53876  3.73948
238871342718.85141  3.55253
238872471813.16409  3.62342
238873600907.47675  3.19262
238874730001.78940  1.43803
238875859096.10208  0.17104
238876988190.41473  -0.04058
238878117284.72739  -0.23937
238879246379.04004  -0.26972
238880375473.35272  -0.21275
238881504567.66537  -0.11322
238882633661.97803  -0.11482
238883762756.29071  -0.02895
238884891850.60336  0.24677
238886020944.91602  0.59350
238887150039.22870  1.42007
238888279133.54135  2.41761
238889408227.85400  4.23075
238890537322.16666  5.37877
238891666416.47934  5.14097
238892795510.79199  5.20338
238893924605.10464  5.08332
238895053699.41733  4.20050
238896182793.72998  2.41208
238897311888.04263  0.53200
238898440982.35529  0.92118
238899570076.66797  1.59286
238900699170.98062  2.06952
238901828265.29327  2.03741
238902957359.60596  2.47105
238904086453.91861  4.04173
238905215548.23126  4.96271
238906344642.54391  3.92471
238907473736.85660  3.85448
238908602831.16925  4.12300
238909731925.48190  5.02535
238910861019.79459  6.73480
238911990114.10724  10.12785
238913119208.41989  13.13283
238914248302.73254  14.13739
238915377397.04523  12.91920
238916506491.35788  10.23916
238917635585.67053  6.66421
238918764679.98322  3.33001
238919893774.29587  1.48175
238921022868.60852  0.49596
238922151962.92117  0.21372
238923281057.23386  -0.18856
238924410151.54651  -0.20896
238925539245.85916  -0.05178
238926668340.17184  0.12652
238927797434.48450  0.26124
238928926528.79715  0.46208
238930055623.10980  0.59251
238931184717.42249  0.73207
238932313811.73514  0.84865
238933442906.04779  0.75454
238934572000.36047  0.69409
238935701094.67313  0.61911
238936830188.98578  0.65246
238937959283.29843  0.42047
238939088377.61111  0.24928
238940217471.92377  0.39946
238941346566.23642  0.65323
238942475660.54910  0.81015
238943604754.86176  1.80763
238944733849.17441  3.18201
238945862943.48709  5.26497
238946992037.79974  6.94752
238948121132.11240  7.02925
238949250226.42505  6.29220
238950379320.73773  5.55162
238951508415.05038  3.84129
238952637509.36304  1.46557
238953766603.67572  0.09666
238954895697.98837  0.17670
238956024792.30103  0.45818
238957153886.61368  0.77900
238958282980.92636  0.82637
238959412075.23901  0.86217
238960541169.55167  1.08861
238961670263.86435  1.36200
238962799358.17700  1.44501
238963928452.48965  1.43961
238965057546.80231  1.66672
238966186641.11499  2.08620
238967315735.42764  2.37219
238968444829.74030  2.78247
238969573924.05298  5.22769
238970703018.36563  11.49496
238971832112.67828  16.72719
238972961206.99094  20.37038
238974090301.30362  22.66569
238975219395.61627  20.36219
238976348489.92892  16.09336
238977477584.24161  13.19069
238978606678.55426  12.48428
238979735772.86691  11.82129
238980864867.17957  10.30146
238981993961.49225  8.36967
238983123055.80490  5.90841
238984252150.11755  3.12629
238985381244.43024  1.71446
238986510338.74289  1.05381
238987639433.05554  1.20766
238988768527.36819  1.35450
238989897621.68088  1.39985
238991026715.99353  1.48708
238992155810.30618  2.03270
238993284904.61887  2.77418
238994413998.93152  2.86353
238995543093.24417  2.67983
238996672187.55685  1.93876
238997801281.86951  2.71925
238998930376.18216  2.68116
239000059470.49481  4.39879
239001188564.80750  7.19395
239002317659.12015  8.17452
239003446753.43280  8.57146
239004575847.74548  7.30883
239005704942.05814  5.53434
239006834036.37079  3.12927
239007963130.68344  1.63708
239009092224.99612  1.41928
239010221319.30878  1.51058
239011350413.62143  2.05845
239012479507.93411  3.10721
239013608602.24677  4.93379
239014737696.55942  8.68064
239015866790.87207  10.28850
239016995885.18475  11.59903
239018124979.49741  12.45046
239019254073.81006  14.37608
239020383168.12274  16.64394
239021512262.43539  19.98476
239022641356.74805  23.01680
239023770451.06070  24.79606
239024899545.37338  24.10274
239026028639.68604  19.23799
239027157733.99869  13.69956
239028286828.31137  9.36813
239029415922.62402  6.47597
239030545016.93668  4.89031
239031674111.24933  3.97497
239032803205.56201  3.94511
239033932299.87466  3.54719
239035061394.18732  2.71617
239036190488.50000  1.50697
239037319582.81265  0.38198
239038448677.12531  -0.08189
239039577771.43796  -0.35318
239040706865.75064  -0.57362
239041835960.06329  -0.68827
239042965054.37595  -0.79343
239044094148.68863  -0.76411
239045223243.00128  -0.68709
239046352337.31393  -0.70620
239047481431.62662  -0.70367
239048610525.93927  -0.58362
239049739620.25192  -0.55745
239050868714.56458  -0.52285
239051997808.87726  -0.14384
239053126903.18991  -0.04217
239054255997.50256  0.14805
239055385091.81525  0.49992
239056514186.12790  0.64766
239057643280.44055  1.42727
239058772374.75320  2.04269
239059901469.06589  2.56863
239061030563.37854  4.64321
239062159657.69119  10.23730
239063288752.00388  17.56176
239064417846.31653  22.63455
239065546940.62918  27.51318
239066676034.94183  26.23677
239067805129.25452  20.69475
239068934223.56717  13.57313
239070063317.87982  8.12047
239071192412.19250  4.54881
239072321506.50516  2.82155
239073450600.81781  1.91802
239074579695.13046  1.51114
239075708789.44315  0.71341
239076837883.75580  0.59747
239077966978.06845  0.48013
239079096072.38113  0.61013
239080225166.69379  0.64529
239081354261.00644  0.87607
239082483355.31909  1.29557
239083612449.63177  1.58154
239084741543.94443  1.93932
239085870638.25708  2.01971
239086999732.56976  1.79691
239088128826.88242  2.13555
239089257921.19507  2.14455
239090387015.50772  3.05853
239091516109.82040  3.48226
239092645204.13306  5.15131
239093774298.44571  10.63266
239094903392.75839  19.33596
239096032487.07104  26.76115
